thread_id,customer_text,intent,predicted_intent,predicted_response,escalate_to_human,correct
GWR_000001,Congrats on the first trains of the new Intercity Express train fleet for @GWRHelp ! We are proud that our MTU PowerPacks power the trains. https://t.co/h4eEc8Od7i,OTHER,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,True
GWR_000002,@GWRHelp why has the 16.27 from Paddington to Bristol only go 7 carriages  instead of 10? It's rammed!,TRAIN / SERVICE INFORMATION,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000003,.@GWRHelp The brand new IET train at Cardiff Central earlier today. Its very impressive. Getting mega miles out of this today https://t.co/8pk1brnKMn,OTHER,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,True
GWR_000004,@GWRHelp I’m on a delayed Manchester - Bristol Temple meads service &amp; not going to make it to Bristol on Time for 12:22 to Westbury what train can I get next from Bristol to Westbury? @GWRHelp Thanks can I use my ticket on them? @GWRHelp It’s ok I made 12:22 with 1 minute to spare!!!!! :),TRAIN / SERVICE INFORMATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",False,False
GWR_000005,@GWRHelp why do you no longer do trains from Paddington to Burnham/Taplow past 9pm? @GWRHelp Do you know where we get the bus from? @GWRHelp Is it in the taxi drop off bit or on the actual road where the Porter Building is? It's not sign posted anywhere!,TRAIN / SERVICE INFORMATION,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000006,@GWRHelp - over 30 mins delay this morning! Good going. What sort of an excuse is “late from the depot”? I couldn’t use that at work?! “Sorry I’m late I was late from my house” wouldn’t go down well. Break it up @134178 #trainrefund #railareturns,TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",False,True
GWR_000007,@GWRHelp Paddington is freezing and we are stood waiting around - NO ONE IS TELLING US ANYTHING!! @GWRHelp But why has the 22:45 stopped calling at Reading. Tonight is beyond a joke. @GWRHelp Is there also delays on the line this evening? This train is stop-start-stop-start..,TRAIN DELAY / CANCELLATION,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000008,"Hanks for a great Friday evening @GWRHelp , currently 25 mins late on the 6pm from Paddington to reading... stop start stop.! 😡",TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",False,True
GWR_000009,@GWRHelp @121203 consistent bad service from honeybourne to london. You buy a 1st class ticket to find that power sockets broken + no cafe,STAFF / SERVICE COMPLAINT,BOOKING / TICKETS,"For ticket purchases, amendments, or collection queries, please visit www.gwr.com or manage your booking via your GWR account. Feel free to DM us if you need specific booking assistance.",False,False
GWR_000010,"@GWRHelp how can I claim compensation for delayed 20:00 London to Bristol temple meads train tonight? Bought the ticket at the station, train getting in now, 38 minutes late @GWRHelp Is there not partial compensation for delay of over 30 minutes? @GWRHelp Why not? @GWRHelp @nationalrailenq is this correct?",REFUND / COMPENSATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",True,False
