thread_id,root_tweet_id,turn_index,tweet_id,author_id,speaker,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
GWR_000001,1336917,1,1336917,431836,customer,True,2017-10-16 12:53:12+00:00,Congrats on the first trains of the new Intercity Express train fleet for @GWRHelp ! We are proud that our MTU PowerPacks power the trains. https://t.co/h4eEc8Od7i,1336916,
GWR_000001,1336917,2,1336916,GWRHelp,company,False,2017-10-16 13:00:41+00:00,"@431836 Hello! Thank you, and appreciate the work you have done to help power our fleet! -Andy",,1336917.0
GWR_000002,2013764,1,2013764,595452,customer,True,2017-11-05 16:39:40+00:00,@GWRHelp why has the 16.27 from Paddington to Bristol only go 7 carriages  instead of 10? It's rammed!,2013763,
GWR_000002,2013764,2,2013763,GWRHelp,company,False,2017-11-05 16:57:45+00:00,"@595452 Hi Jaz. This is because our IETs aren't in service this weekend, our HST's don't have 10 carriages. Apologies for the busy conditions. Rach",,2013764.0
GWR_000003,1446681,1,1446681,455703,customer,True,2017-10-16 19:14:20+00:00,.@GWRHelp The brand new IET train at Cardiff Central earlier today. Its very impressive. Getting mega miles out of this today https://t.co/8pk1brnKMn,"1446682,1446680,1446683,1446684,1446685,1446686",
GWR_000003,1446681,2,1446680,GWRHelp,company,False,2017-10-16 19:16:41+00:00,@455703 Hi Laurence. Great photo! Thanks for sharing this - Josh,,1446681.0
GWR_000003,1446681,3,1446682,,company,,,,,
GWR_000003,1446681,4,1446683,,company,,,,,
GWR_000003,1446681,5,1446684,,company,,,,,
GWR_000003,1446681,6,1446685,,company,,,,,
GWR_000003,1446681,7,1446686,,company,,,,,
GWR_000004,2333939,1,2333939,594262,customer,True,2017-11-13 11:48:53+00:00,@GWRHelp I’m on a delayed Manchester - Bristol Temple meads service &amp; not going to make it to Bristol on Time for 12:22 to Westbury what train can I get next from Bristol to Westbury?,2333938,
GWR_000004,2333939,2,2333938,GWRHelp,company,False,2017-11-13 12:09:46+00:00,@594262 Hi Jonathan. The next available services from Bristol Temple Meads to Westbury will be the 1239 or 1249. :) Rach,2333937,2333939.0
GWR_000004,2333939,3,2333937,594262,customer,True,2017-11-13 12:17:52+00:00,@GWRHelp Thanks can I use my ticket on them?,2333936,2333938.0
GWR_000004,2333939,4,2333936,GWRHelp,company,False,2017-11-13 12:18:38+00:00,@594262 Can you send me a photo of your ticket please? Rach https://t.co/Fg4VGS9qNo,2333935,2333937.0
GWR_000004,2333939,5,2333935,594262,customer,True,2017-11-13 12:24:44+00:00,@GWRHelp It’s ok I made 12:22 with 1 minute to spare!!!!! :),2333934,2333936.0
GWR_000004,2333939,6,2333934,GWRHelp,company,False,2017-11-13 12:41:28+00:00,@594262 Glad to hear this! :) Rach,,2333935.0
GWR_000005,2363967,1,2363967,129487,customer,True,2017-11-13 21:28:13+00:00,@GWRHelp why do you no longer do trains from Paddington to Burnham/Taplow past 9pm?,2363966,
GWR_000005,2363967,2,2363966,GWRHelp,company,False,2017-11-13 21:32:29+00:00,@129487 Hello. Chloe. There is upgrade work taking place on the railway therefore replacement buses will operate from Slough at the moment. - Jordan,2363964,2363967.0
GWR_000005,2363967,3,2363964,129487,customer,True,2017-11-13 21:42:34+00:00,@GWRHelp Do you know where we get the bus from?,2363962,2363966.0
GWR_000005,2363967,4,2363962,GWRHelp,company,False,2017-11-13 21:46:03+00:00,@129487 It will be from the front of the station - Platform 2 side. Natalie,2363963,2363964.0
GWR_000005,2363967,5,2363963,129487,customer,True,2017-11-13 22:09:57+00:00,@GWRHelp Is it in the taxi drop off bit or on the actual road where the Porter Building is? It's not sign posted anywhere!,2363965,2363962.0
GWR_000005,2363967,6,2363965,GWRHelp,company,False,2017-11-13 22:30:42+00:00,@129487 Are you at Slough right now? Best to speak to a member of staff at the station. Natalie,,2363963.0
