thread_id,full_conversation,total_turns,customer_turns,company_turns,length_bucket,dm_signal,escalation_signal,intent,interaction_type,resolution_status,evaluation_quality
GWR_000001,"Customer: Congrats on the first trains of the new Intercity Express train fleet for @GWRHelp ! We are proud that our MTU PowerPacks power the trains. https://t.co/h4eEc8Od7i
GWRHelp: @431836 Hello! Thank you, and appreciate the work you have done to help power our fleet! -Andy",2,1,1,,FALSE,FALSE,OTHER,other,unresolved,bad_candidate
GWR_000002,"Customer: @GWRHelp why has the 16.27 from Paddington to Bristol only go 7 carriages  instead of 10? It's rammed!
GWRHelp: @595452 Hi Jaz. This is because our IETs aren't in service this weekend, our HST's don't have 10 carriages. Apologies for the busy conditions. Rach",2,1,1,,FALSE,FALSE,TRAIN / SERVICE INFORMATION,question,resolved,good_candidate
GWR_000003,"Customer: .@GWRHelp The brand new IET train at Cardiff Central earlier today. Its very impressive. Getting mega miles out of this today https://t.co/8pk1brnKMn
GWRHelp: @455703 Hi Laurence. Great photo! Thanks for sharing this - Josh
GWRHelp: nan
GWRHelp: nan
GWRHelp: nan
GWRHelp: nan
GWRHelp: nan",7,1,6,,FALSE,FALSE,OTHER,other,unresolved,bad_candidate
GWR_000004,"Customer: @GWRHelp I’m on a delayed Manchester - Bristol Temple meads service &amp; not going to make it to Bristol on Time for 12:22 to Westbury what train can I get next from Bristol to Westbury?
GWRHelp: @594262 Hi Jonathan. The next available services from Bristol Temple Meads to Westbury will be the 1239 or 1249. :) Rach
Customer: @GWRHelp Thanks can I use my ticket on them?
GWRHelp: @594262 Can you send me a photo of your ticket please? Rach https://t.co/Fg4VGS9qNo
Customer: @GWRHelp It’s ok I made 12:22 with 1 minute to spare!!!!! :)
GWRHelp: @594262 Glad to hear this! :) Rach",6,3,3,,FALSE,FALSE,TRAIN / SERVICE INFORMATION,question,resolved,good_candidate
GWR_000005,"Customer: @GWRHelp why do you no longer do trains from Paddington to Burnham/Taplow past 9pm?
GWRHelp: @129487 Hello. Chloe. There is upgrade work taking place on the railway therefore replacement buses will operate from Slough at the moment. - Jordan
Customer: @GWRHelp Do you know where we get the bus from?
GWRHelp: @129487 It will be from the front of the station - Platform 2 side. Natalie
Customer: @GWRHelp Is it in the taxi drop off bit or on the actual road where the Porter Building is? It's not sign posted anywhere!
GWRHelp: @129487 Are you at Slough right now? Best to speak to a member of staff at the station. Natalie",6,3,3,,FALSE,FALSE,TRAIN / SERVICE INFORMATION,question,unresolved,good_candidate
GWR_000006,"Customer: @GWRHelp - over 30 mins delay this morning! Good going. What sort of an excuse is “late from the depot”? I couldn’t use that at work?! “Sorry I’m late I was late from my house” wouldn’t go down well. 
Break it up @134178 #trainrefund #railareturns
GWRHelp: @754891 @134178 Hi Samuel. Sorry for the delay this morning. There are several different reasons why a train may leave the depot late and we don't always have the specifics. I appreciate this is frustrating. Apologies again. Natalie",2,1,1,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,resolved,good_candidate
GWR_000007,"Customer: @GWRHelp Paddington is freezing and we are stood waiting around - NO ONE IS TELLING US ANYTHING!!
GWRHelp: @252176 Hi Matt. Sorry to hear this. The 2248 is due to run - Josh
Customer: @GWRHelp But why has the 22:45 stopped calling at Reading. Tonight is beyond a joke.
GWRHelp: @252176 This is a change that has been made tonight due to extra customers expected on the service who are travelling to Swansea. The 22.48 will run with extra carriages for customer going to Reading. Apologies for any inconvenience caused - Josh
Customer: @GWRHelp Is there also delays on the line this evening? This train is stop-start-stop-start..
GWRHelp: @252176 This is due to following a late running train. Apologies for this Matt. The service is currently running 19 minutes late - Josh",6,3,3,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,information,resolved,good_candidate
GWR_000008,"Customer: Hanks for a great Friday evening @GWRHelp , currently 25 mins late on the 6pm from Paddington to reading... stop start stop.! 😡
GWRHelp: @435116 Hello Hayley. I am sorry for the delay this evening. This is due to congestion in the area. - Jordan",2,1,1,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,resolved,good_candidate
GWR_000009,"Customer: @GWRHelp @121203 consistent bad service from honeybourne to london. You buy a 1st class ticket to find that power sockets broken + no cafe
GWRHelp: @571095 @121203 Hi Jono, sorry to hear this. What was the departure time from Honeybourne? Which carriage are you in? -Andy",2,1,1,,FALSE,FALSE,STAFF / SERVICE COMPLAINT,complaint,resolved,good_candidate
GWR_000010,"Customer: @GWRHelp how can I claim compensation for delayed 20:00 London to Bristol temple meads train tonight? Bought the ticket at the station, train getting in now, 38 minutes late
GWRHelp: @336904 Hi Thomas. Sorry for the delay. I'm afraid compensation would only be due for that journey if delayed by an hour. Lewis
Customer: @GWRHelp Is there not partial compensation for delay of over 30 minutes?
GWRHelp: @336904 Not for this journey, sorry Thomas. - Jordan
Customer: @GWRHelp Why not?
GWRHelp: @336904 The delay is under an hour. Details about compensation can be found here: https://t.co/kZncdam7bx - Jordan
Customer: @GWRHelp @nationalrailenq is this correct?",7,4,3,,FALSE,FALSE,REFUND / COMPENSATION,request,resolved,good_candidate
